score,budgetingtool,moneysaved
70,Yes,50
95,Yes,100
69,No,0
80,Yes,1450
88,Yes,100
74,No,0
75,No,0
68,No,0
85,Yes,0
87,No,200
85,Yes,50
77,No,100
70,Yes,200
75,No,0
84,Yes,25
83,No,300
77,No,0
100,Yes,650
77,No,0
72,No,169
87,No,100
84,Yes,500
65,No,200
72,No,0
72,No,20
75,No,280
93,No,400
77,No,300
77,No,0
59,No,300
67,No,300
85,No,0
75,Yes,200
62,No,100
83,No,0
79,No,250
55,No,0
77,No,0
74,No,20
77,No,0
78,No,0
75,No,0
82,No,0
89,No,0
82,Yes,500
82,No,200
63,Yes,100
89,Yes,200
90,No,250
92,Yes,500
83,No,0
42,No,0
38,No,70
41,No,20
90,Yes,235
30,Yes,80
72,No,0
75,Yes,250
91,Yes,100
69,No,0
88,Yes,500
87,Yes,150
77,No,50
64,No,0
88,Yes,500
78,Yes,100
83,Yes,750
46,No,40
45,Yes,160
46,No,20
89,Yes,150
82,No,0
91,Yes,75
83,Yes,200
75,No,0
69,No,0
97,Yes,250
80,No,0
82,No,0
87,No,0
76,Yes,150
62,No,0
60,No,50
81,No,100
55,No,0
72,No,0
82,Yes,100
77,Yes,75
72,Yes,100
54,No,50
88,Yes,50
56,No,50
67,No,0
92,Yes,150
92,Yes,100
91,Yes,100
71,Yes,100
69,No,50
77,Yes,100
93,Yes,100
